gene_a.name	gene_a.identifier	gene_b.name	gene_b.identifier	SL.cell_line	SL.pubmed_id	SL.source	SL.statistic_score
CYP1A2	1544	FKBP11	51303	K562;K562	20609354	GenomeRNAi	0.506
ABCB1	5243	FKBP11	51303	K562;K562	20609354	GenomeRNAi	0.506
CYP2C19	1557	FKBP11	51303	K562;K562	20609354	GenomeRNAi	0.506
CYP3A4	1576	FKBP11	51303	K562;K562	20609354	GenomeRNAi	0.506
ALB	213	FKBP11	51303	K562;K562	20609354	GenomeRNAi	0.506
BCR	613	FKBP11	51303	K562;K562	20609354	GenomeRNAi	0.506
DDR1	780	FKBP11	51303	K562;K562	20609354	GenomeRNAi	0.506
ABCG2	9429	FKBP11	51303	K562;K562	20609354	GenomeRNAi	0.506
ABL1	25	FKBP11	51303	K562;K562	20609354	GenomeRNAi	0.506
CYP2D6	1565	FKBP11	51303	K562;K562	20609354	GenomeRNAi	0.506
CYP3A7	1551	FKBP11	51303	K562;K562	20609354	GenomeRNAi	0.506
CSF1R	1436	FKBP11	51303	K562;K562	20609354	GenomeRNAi	0.506
CYP2C9	1559	FKBP11	51303	K562;K562	20609354	GenomeRNAi	0.506
CYP3A5	1577	FKBP11	51303	K562;K562	20609354	GenomeRNAi	0.506
ABCA3	21	FKBP11	51303	K562;K562	20609354	GenomeRNAi	0.506
KRAS	3845	SMURF2	64750	DLD-1	19490893	GenomeRNAi	0.455
PARVA	55742	SMURF2	64750	null	25171417	Computational Prediction	0.3
GNG12	55970	SMURF2	64750	null	25171417	Computational Prediction	0.3
EPHA2	1969	SMURF2	64750	null	25171417	Computational Prediction	0.3
HRAS	3265	SMURF2	64750	DLD-1	19490893	GenomeRNAi	0.455
GPX8	493869	SMURF2	64750	null	25171417	Computational Prediction	0.3
NRAS	4893	SMURF2	64750	DLD-1	19490893	GenomeRNAi	0.455
OSMR	9180	SMURF2	64750	null	25171417	Computational Prediction	0.2
GRHL3	57822	SSH3	54961	null	25171417	Computational Prediction	0.3
RHOD	29984	SSH3	54961	null	25171417	Computational Prediction	0.2
CBLC	23624	SSH3	54961	null	25171417	Computational Prediction	0.17
TRIOBP	11078	SSH3	54961	null	25171417	Computational Prediction	0.3
MYH14	79784	SSH3	54961	null	25171417	Computational Prediction	0.3
FLCN	201163	SSH3	54961	BHD-origin renal cell carcinoma;thyroid carcinoma_D002292;D013964	23416984	Text Mining	0.1775
ITPKC	80271	SSH3	54961	null	25171417	Computational Prediction	0.3
