id,name
1,STARD3
2,PYCR3
32773,OVOL1
11,KCND3
15,PRDM10
16,TG
32784,ATP6V0D2
32783,RSRC2
32795,CAPN3
28,SEMA3D
29,DEPP1
32796,UPRT
32800,ST3GAL1
33,NXN
34,CD96
38,NR2F6
32810,TBL3
32811,STARD9
46,EPB42
32814,ZFYVE16
50,ZNF140
51,SMG6
53,PHKG1
32824,LOXL2
57,ADGRG1
62,C17orf67
32834,NME3
69,SP6
71,CENPX
32840,EIF2B5
75,NAGPA
32845,RHCG
79,SLAMF8
80,TAP2
32851,NOC4L
85,MPP3
32854,ANTXR2
87,RNF6
32855,PPP2R5A
91,MAGED2
92,CREBZF
32860,NOD1
32863,CTR9
95,CTDSP2
101,GLE1
32870,FANCD2
32869,MED30
32873,LAD1
106,ECH1
32875,CHST12
107,ZNF32
109,FANCI
32876,RPAP2
116,TAOK1
118,ZMYM4
127,CHD9
129,IDI1
132,SLC25A28
134,CDK4
32904,TMEM67
32905,GYPB
136,RAB3IP
144,RBBP6
153,UBL4A
154,TAS2R1
170,RTBDN
174,VIPR1
175,RAB18
32944,VPS37B
32945,PRDM9
32946,TFRC
179,HIVEP1
32950,FAM193B
32960,DUS4L
32967,TNK2
32973,GPX4
206,MBNL1
207,PSMD13
32979,PHOSPHO1
32980,EPB41L2
215,ACAP1
32984,IQCE
32986,SPATA5
32992,RBM8A
227,SMAD7
230,NSUN5
231,ASB7
233,WDR55
238,TMEM102
33014,HOOK3
33016,MPP2
253,WLS
255,PUM2
257,BMPR1A
33025,TCERG1
33027,BCAR3
261,ZNF511
263,CPSF2
265,ANKH
33036,EML3
270,PRKACG
33039,AHSG
33048,ATAD3A
33049,SLC26A4
281,CTAG2
33054,HCAR1
291,LDHB
302,NDUFA3
33076,IDH3G
309,IMMP2L
315,TMEM186
33084,MFAP1
319,TMEM213
321,PRRX2
33089,RBBP5
325,ATP7A
328,SCN2B
331,EEF1G
334,ZNF653
33105,CCDC114
341,WARS2
345,SPATA4
33115,TRERF1
33121,PALLD
33124,P2RX4
358,FBLN1
33132,CERK
33133,ARSK
369,COL25A1
33137,FOXP2
370,CACUL1
33140,ARL14
33144,CBL
383,FKBP11
33154,PSMD8
389,RHOG
33157,RFXANK
392,RPLP1
396,WDR7
33166,ZEB2
398,PMAIP1
33177,SMAD6
33185,UCHL1
33188,TMTC4
33194,U2AF2
33195,SKAP2
429,STRBP
433,TACR1
437,MYO1B
33208,ANKRD53
33209,HNRNPH1
33213,C1orf21
445,LILRB5
448,TPST2
450,SEMA4A
458,LCE1B
33228,MAPK8
33232,LYPLA1
466,EIF2S1
33235,PUS10
33236,SMURF2
472,PBRM1
33244,SAP30
479,HCN3
482,COPB2
33252,ASPHD2
33254,TRPM2
33257,SLC35F2
33258,NDUFA2
497,UBXN1
33265,HRH3
33269,MBTPS1
502,SST
33271,OIP5
33273,CHRM2
33274,DCAF13
505,VWCE
33276,LUZP2
515,LACC1
33283,HDGF
33286,ATP6AP1
33291,P2RY13
33292,PES1
526,DCLRE1A
529,C5orf63
33301,UGT3A1
33302,LAMC3
33308,MED20
544,WSB2
33313,VWC2
548,ZFP37
550,MAPKBP1
551,LRRC37A3
555,ZIK1
558,UPF2
559,MLH3
33330,MTNR1B
563,PRPF3
567,ERAL1
33335,KATNA1
33337,PLA2G4C
570,ZNRF3
572,DNAJB11
576,IBSP
33347,MINK1
33348,RPS13
33349,ZNF225
33361,ITGBL1
596,NUP58
33369,CLNS1A
33372,PNO1
606,ACAT1
33377,TMCO1
610,DAD1
33380,RPA2
33383,C18orf21
33384,IMMT
616,CHCHD3
33388,CUL1
621,C6orf132
620,DGKH
33390,SUGP2
625,TIMELESS
33398,GJB2
33401,AMPD2
33404,TP53INP1
33405,EGR3
638,GPR157
640,ZDHHC17
33409,TMED6
643,C8A
646,PIBF1
33415,RPS16
33416,SIT1
652,ELF3
33424,CHST14
33426,ZMAT3
33430,MED28
33435,CEL
33437,FTSJ3
33439,SSRP1
33440,CHCHD6
673,MED19
33441,MOS
674,PIGV
677,TTN
33449,CDCA3
681,APTX
683,NEDD8
687,PEX11B
33460,DTX2
33462,GALNT3
702,BARD1
703,WDR77
33470,PCDH7
33473,AARS2
705,CCL24
33477,LCK
710,GSDME
716,TUBGCP3
33488,FBXO40
720,RBM39
33493,SLC39A3
728,KIR2DL3
33497,SMARCB1
730,CRP
731,CLIP4
33500,TMEM117
733,RPGRIP1
735,NT5C3B
736,PARD6B
33503,PTPRC
739,RNF144B
33513,TRAF2
33517,ACADVL
750,NCOA1
753,RHBDD3
33522,DCC
33525,VDAC3
33526,LMTK2
758,ANKMY1
33538,CACNA1G
33549,NLRP3
33550,FMN1
33551,FAAP24
781,PRSS16
33556,URM1
790,POLM
33565,CADM1
807,MIS18BP1
33575,WDR13
809,TNFAIP8L2
810,TCF21
33584,CYP2U1
33591,MTMR1
33595,TTC4
833,ARF4
836,EFNA2
840,SLFN11
33608,TNFRSF10C
842,FBXL7
843,PIK3CD
841,ZNF175
848,CPNE5
851,COPS2
33621,MNX1
853,ZFR
855,MOB1B
33622,CUEDC1
33626,MLPH
33628,SEC13
862,FCF1
863,CHRNA2
33631,CABIN1
868,CDKL5
33639,ARIH2
873,RFC2
33645,HEMK1
33647,ZNRD1
33649,ZNF749
882,SRA1
33652,C8G
33653,MRM2
886,BEND2
33656,SPATA17
33664,MCTP1
897,AKR1B1
33666,THBS1
904,ZFPM1
905,TMEM39B
906,PAX4
911,PREX1
913,VPS41
33681,ABCB11
916,MTMR6
33685,LMOD1
917,ZNF117
926,SLC7A13
927,CCDC172
33695,FZD7
33699,GRIK3
33701,ASTN1
935,HSDL2
33704,CLIP1
33707,EXOSC2
33709,POLR2J
942,KLHL23
945,LRIG2
33715,STAG1
33716,BCL2L10
33719,TOR2A
953,GABPA
33722,HAND2
962,DFFB
964,LAT2
33733,FBL
966,CGNL1
967,FKBP14
968,NVL
974,HSPB3
33750,MAPK4
982,HSPA1B
33752,RORB
984,CACNA1A
986,SLPI
