id_a,id_b,name_a,name_b
39043,4435,CSK,FGD6
42681,34295,RTF1,SNRPC
4405,1444,ATP6V0E1,BCR
28478,1629,NRAS,TUBGCP5
53215,50762,ASPH,SDC4
50805,45321,EIF3D,ZWINT
40541,49001,GTSE1,RACGAP1
32400,42957,ABCC10,ATR
49830,46424,ABL1,RPL35
36793,14312,AATF,TADA2A
23742,15257,NACA,SNRPD3
52477,8917,ABCB1,CRCP
16654,51388,PTTG1,ENPP5
30462,16903,PMS2,RRM1
16654,38823,PTTG1,TRMT5
11155,53953,UBR5,TP53
27683,23504,FGF21,KLF10
16844,27672,NAE1,ZFP82
33424,10723,CHST14,MYC
11570,16749,ETAA1,AREL1
9349,5719,MRPS18A,PPP2R1A
34023,6965,KRAS,EPHA1
49201,1547,CENPM,TBCB
11778,17365,FLT3LG,KIT
36151,1079,SSTR4,CSH2
44669,51435,ANXA4,LTBR
34023,41628,KRAS,NUAK1
21935,11786,BAD,CYP3A5
49830,7297,ABL1,TMEFF1
45720,30407,PPWD1,RIOK2
28478,28464,NRAS,WFDC12
7383,9093,OR2L13,TM4SF1
1782,21581,LPP,SIGMAR1
11003,14317,CYP1A2,RPL5
39737,7494,CYP7A1,HOXC11
134,4778,CDK4,RAD9A
51547,36988,MRPS25,VPS29
34023,8697,KRAS,CALM2
26809,39255,KLF4,GPRC5A
34023,4149,KRAS,FOXL1
7580,30825,NEFM,PTEN
19936,24942,RNF44,ZBTB39
24313,32870,EVPL,FANCD2
26282,17365,EDF1,KIT
16654,14945,PTTG1,IBTK
46318,46427,CASP3,TIPARP
10801,16104,BIRC5,PRKCA
10164,30333,ARGLU1,NUP85
34023,16386,KRAS,CFAP298
52919,34990,NUP54,CNBP
50902,30825,SEMA4G,PTEN
12562,17634,RTRAF,MED6
32317,21664,KMT2E,SYNE2
30825,48859,PTEN,SLTM
14717,7133,SH3BGRL3,DRAP1
34023,2283,KRAS,GPSM2
21775,4469,ABCA3,SKP1
30825,18967,PTEN,MED14
45958,13218,CYP3A7,PDE6C
10959,32134,ASH2L,BAG4
39043,22921,CSK,ELOVL3
34023,38566,KRAS,RAPGEF2
26743,15868,AURKA,GFER
30825,24638,PTEN,TNFRSF4
19034,27869,MUS81,ATF4
19786,21640,RET,UBA6
19396,28254,AMHR2,CIT
4113,1616,BLM,GALR3
28478,2839,NRAS,POLDIP3
49830,46960,ABL1,TRIP11
8364,30825,DUOXA2,PTEN
10751,15572,POLE,XRCC2
15728,38232,CMSS1,NFIC
16844,37708,NAE1,OR2M4
4113,48533,BLM,GP9
